	mean
0	0.4968861299957918
1	0.4993945587447735
2	0.5054198266192094
3	0.5025917413093772
4	0.5012274095934993
5	0.501263615295037
6	0.497830332741412
7	0.5018920980488423
8	0.5017724121643043
9	0.4984844832222221
10	0.5037278706071876
11	0.49776799596956445
12	0.5014591234269514
13	0.5008747013952437
14	0.5003678771138517
15	0.49716170268372006
16	0.5016530927518607
17	0.5035524468652178
18	0.5004511948171317
19	0.49909209078943595
20	0.5001564389196804
21	0.5015852656183756
22	0.5010831025789455
23	0.5020221263663394
24	0.49607616017120554
25	0.5037416481378003
26	0.49885383304587905
27	0.49750191441423985
28	0.4997081585104501
29	0.49923848284499517
30	0.4971597783571995
31	0.49953108442604716
32	0.49764204315476146
33	0.5038096337378476
34	0.49956987032811057
35	0.4985405528758497
36	0.49843306238441737
37	0.5010728854485146
38	0.49977382878300575
39	0.5034129224958482
40	0.5033683697740546
41	0.5017279507182574
42	0.5005357934522463
43	0.498114290136383
44	0.49660801832189627
45	0.5003612287682245
46	0.49662067259768056
47	0.5018190463137256
48	0.4973060985359316
49	0.5026352646295014
50	0.4981950093581806
51	0.49934673330835777
52	0.4939418177813272
53	0.499703130180807
54	0.4973114138423377
55	0.4991408420930371
56	0.5016185995882293
57	0.4994561892037057
58	0.4991272395636575
59	0.5024444736583302
60	0.5024978547685492
61	0.5009870985442385
62	0.4986444545014558
63	0.4997901054357566
64	0.5014217789534747
65	0.4991679813332576
66	0.5013688246397507
67	0.49691045960857955
68	0.5029337834056983
69	0.49807075632135595
70	0.5003733342312591
71	0.4951138360804304
72	0.5005670515062383
73	0.4992330960465659
74	0.4981770899904867
75	0.5023195056417924
76	0.5026442265081836
77	0.5037344231032217
78	0.5003496401031226
79	0.5022109639327577
80	0.5012248241325956
81	0.5024614126728442
82	0.5061271265169346
83	0.49908388062418635
84	0.4990419017964522
85	0.5013202632442652
86	0.5035417243133299
87	0.49892382645763145
88	0.4996180177857715
89	0.4979227465277519
90	0.49962315635868754
91	0.4967386558608533
92	0.5034671395765459
93	0.4957097798479408
94	0.5044936510271693
95	0.4980513580728347
96	0.4973666272522015
97	0.4995130980641235
98	0.49660433655044534
99	0.4964385464157206
100	0.5011378184519714
101	0.5025799980863047
102	0.5015397715661731
103	0.501969948777843
104	0.49943108392110297
105	0.5031277879738253
106	0.5018675848689601
107	0.49901979289693127
108	0.5037285885858629
109	0.5053425751980287
110	0.49539514483613056
111	0.5017229137437356
112	0.5008004063725351
113	0.5005670698063873
114	0.500174965875278
115	0.500401679298402
116	0.4981467864982504
117	0.496288775442962
118	0.4992723390495388
119	0.4943873969859882
120	0.5002527120472275
121	0.4986795427408815
122	0.5016021934002893
123	0.5006628616070551
124	0.5030712495659778
125	0.5003583082867818
126	0.5008424138648934
127	0.5012144369959134
128	0.49569488894290864
129	0.4984040580893029
130	0.5045479328180762
131	0.5038055187363003
132	0.4982477925169121
133	0.5012526830481013
134	0.4930951701685438
135	0.4986843961249543
136	0.5021159812636824
137	0.49928204657248143
138	0.49953123661780935
139	0.5011594209633812
140	0.5032295445925095
141	0.5012510956155524
142	0.4964504772579181
143	0.4987115420620498
144	0.4965468412513938
145	0.5045606165395907
146	0.4945349710362942
147	0.5037211650741102
148	0.501146040939243
149	0.500133518226588
150	0.5012447002024362
151	0.4974733100001997
152	0.5034948203949502
153	0.5013734048620768
154	0.4936130837515582
155	0.5026984447228999
156	0.49909644179422
157	0.49554575839351767
158	0.5010813030126992
159	0.49547741342969986
160	0.5037832259948781
161	0.5002623237383794
162	0.504392969985874
163	0.4999637396106709
164	0.4976491134958448
165	0.4984567984233759
166	0.5016804423095539
167	0.5021976658626824
168	0.4971764793162342
169	0.5057734615895734
170	0.5017264569244048
171	0.5024882741519479
172	0.5051222431401193
173	0.4991656962200321
174	0.4972385822257933
175	0.5014993564420396
176	0.5047963476086338
177	0.5017401498202085
178	0.4956751127570074
179	0.4994901639299912
180	0.49730471363207607
181	0.4994153702583274
182	0.494086291068667
183	0.5036607068279751
184	0.5004750690873365
185	0.49597200960869897
186	0.4999932430269785
187	0.4960107484553466
188	0.502112918195973
189	0.5018352354686876
190	0.4951854967063116
191	0.5069137690292177
192	0.5042969093897195
193	0.49913005323377063
194	0.4950249869349576
195	0.5005107381741322
196	0.507753151552137
197	0.49920580002134113
198	0.5016668325029264
199	0.500606465717998
200	0.503888311210084
201	0.4957789918510831
202	0.5012790270325967
203	0.5034592372100929
204	0.5044458576444572
205	0.49733340678468585
206	0.501135895732921
207	0.5003594360715848
208	0.4994380875062943
209	0.49938536406316936
210	0.5039633061351304
211	0.5007891939674176
212	0.4947330338247393
213	0.5039664826191188
214	0.5028721606410436
215	0.5012989607229965
216	0.5034957400494734
217	0.4991544567844506
218	0.5000220939184207
219	0.5009490504439739
220	0.5015249754891342
221	0.5037126026350588
222	0.4985170657477536
223	0.49552386782097163
224	0.5022461634731703
225	0.49736685445094697
226	0.4946306081998561
227	0.4996045084946643
228	0.5025017585523519
229	0.49856914953115955
230	0.4938887127917084
231	0.49852219096681877
232	0.49803340868472407
233	0.49971758262382115
234	0.5009332906103837
235	0.5030275742486907
236	0.49713489107359
237	0.49658918615801223
238	0.4961880313085441
239	0.4996378219263679
240	0.50176759143712
241	0.5023720405678785
242	0.5042484288555279
243	0.49928518790035814
244	0.5019224047079447
245	0.5022486434155218
246	0.5009857811471216
247	0.502341142361795
248	0.49959257522970874
249	0.4983598530654117
250	0.501755683649402
251	0.5035394079747191
252	0.4996507424010206
253	0.49604910880965647
254	0.4977712936517023
255	0.4980588316809606
256	0.5031390985257376
257	0.5016103218731023
258	0.4981259850644904
259	0.49949528315611796
260	0.4950471518644445
261	0.4989677858285254
262	0.4961026805638243
263	0.5027299318378605
264	0.49826127098506157
265	0.4990208723916649
266	0.5036300322909707
267	0.49675761705583826
268	0.5033538392123357
269	0.4977803275361652
270	0.49922487167581986
271	0.4965322492066346
272	0.4994968696038182
273	0.5003441033016809
274	0.5021197093091746
275	0.5055587087714165
276	0.5010631851590988
277	0.5015420207796109
278	0.49957695472798297
279	0.5009022456293741
280	0.5047620560380826
281	0.49918322841217544
282	0.4981898435420725
283	0.49683660013613323
284	0.499020576069913
285	0.4993235488143886
286	0.494019093129056
287	0.5014143465365529
288	0.4973679205618255
289	0.4982831289387406
290	0.49492901805016454
291	0.4981108139640476
292	0.49997749572235245
293	0.5010381899855283
294	0.504812931283125
295	0.49454315617484973
296	0.49825560315049916
297	0.49977171221117545
298	0.5006610796133748
299	0.5019451152945031
300	0.4984134468395796
301	0.49913973223962305
302	0.4982963516824845
303	0.5014656991313559
304	0.5008939290807435
305	0.49404408354744844
306	0.5070934018287784
307	0.49748796913006327
308	0.49961946517959005
309	0.49895520770265095
310	0.4996976413413982
311	0.5010546572302944
312	0.4931877479930743
313	0.4988383957440892
314	0.4951136727738387
315	0.49711504955137154
316	0.4971921465720923
317	0.496376079800558
318	0.4982698432437438
319	0.49647037713746195
320	0.5027576455903713
321	0.49754732669000157
322	0.4984200821275522
323	0.5044858635929327
324	0.5066098658919511
325	0.49548768095283496
326	0.4975000552401257
327	0.49994947924337746
328	0.5060462887175108
329	0.4965888289389509
330	0.49965465583829444
331	0.5009343173041693
332	0.502961398391309
333	0.4997100558172304
334	0.5081750095426919
335	0.49853189469986775
336	0.49954098120001544
337	0.5040414798348589
338	0.5025805016471201
339	0.5009298156166563
340	0.5004598064435062
341	0.5015090303745295
342	0.4988471728837832
343	0.5026172228615863
344	0.49858119757393515
345	0.4949500524859135
346	0.5013719738614992
347	0.500535254459033
348	0.5003877487741524
349	0.5006448451232315
350	0.5013133514823286
351	0.4982431635926805
352	0.4978559494089899
353	0.5042120345015388
354	0.49772707103997765
355	0.49866040853783633
356	0.503114834482404
357	0.49781515832839296
358	0.5008818817108062
359	0.5033632647574494
360	0.5025796578749324
361	0.49883238289728177
362	0.503909287713509
363	0.5003560593150373
364	0.5017959612281173
365	0.4999194651816537
366	0.4997397291832647
367	0.4984475785868122
368	0.498284835046439
369	0.4956180363946978
370	0.50006625768913
371	0.5028858426745941
372	0.5008112021200888
373	0.4988426927874986
374	0.5021133078204002
375	0.496417644692686
376	0.4977145417136322
377	0.49897623590086704
378	0.5009524150259804
379	0.4990279914045277
380	0.4994047053519422
381	0.5007887498499917
382	0.4985450083198316
383	0.4982850442343901
384	0.49827060087894487
385	0.5030110031009157
386	0.5008378260621861
387	0.5010174997348721
388	0.49940663586574535
389	0.5001457255566294
390	0.49959156211764366
391	0.49850074018797913
392	0.498661008488867
393	0.499472338580818
394	0.49846056505983044
395	0.5011896534001377
396	0.5011631181551738
397	0.5032074027146006
398	0.4983835562242858
399	0.4962553030112202
400	0.5021024978804243
401	0.4957280268464652
402	0.4983430201460804
403	0.49731449043364173
404	0.5064540226845504
405	0.5006375990041237
406	0.4969492027898662
407	0.49748030894876777
408	0.49610902777209903
409	0.5034909239188462
410	0.4985413973053288
411	0.4991170118913598
412	0.5052335664448819
413	0.49514080453199233
414	0.5009033985811167
415	0.5013880370368897
416	0.49587139916011913
417	0.5062656431759402
418	0.5054971052898072
419	0.49877969141383116
420	0.4961442085833194
421	0.5053378385370006
422	0.5010116965992071
423	0.49777890604418273
424	0.49661235553868993
425	0.5032389773827188
426	0.5019327355365469
427	0.5065055553051437
428	0.5001843359432825
429	0.5018100425001554
430	0.5030402820655061
431	0.49995188927154605
432	0.499615592631659
433	0.5053449923593323
434	0.497875006476002
435	0.4952858181609351
436	0.5013591630534149
437	0.5016358961080406
438	0.5027804949391917
439	0.49622605356914484
440	0.4993124733744151
441	0.49727913085278125
442	0.49604580377808905
443	0.5048111481629005
444	0.4947528972174822
445	0.4995335542448317
446	0.5010747380601253
447	0.49649973437508643
448	0.5002049050700259
449	0.4980925037630874
450	0.4986677057214778
451	0.5023760061685343
452	0.5011710636362614
453	0.5013371958951539
454	0.49872688069011184
455	0.5045496181267972
456	0.49629281843596945
457	0.505029035568716
458	0.5027725524014092
459	0.500889014677646
460	0.5001097712759027
461	0.5019987492308541
462	0.4996159627632205
463	0.501330687498559
